Measure Time,Cuv. No.,Point,Check,SD: 340,SD: 380,SD: 410,SD: 450,SD: 480,SD: 520,SD: 540,SD: 570,SD: 600,SD: 660,SD: 700,SD: 750,SD: 800,OD: 340,OD: 380,OD: 410,OD: 450,OD: 480,OD: 520,OD: 540,OD: 570,OD: 600,OD: 660,OD: 700,OD: 750,OD: 800,
2026/05/15 09:04:57,88,Pw1,1,2166,4064,6701,8743,11140,11837,11094,10011,9069,10989,12249,13293,12888,1.3812,0.9597,0.9104,0.8971,0.733,0.7144,0.7749,0.8494,0.9156,0.7225,0.6825,0.5031,0.4694,Measure
2026/05/15 09:04:57,87,Pw2,1,4702,9268,7984,6873,7885,7369,6516,5796,5394,6693,6249,9117,9820,1.3676,0.9444,0.8968,0.8862,0.7232,0.706,0.767,0.842,0.9086,0.7169,0.6777,0.4985,0.465,Measure
2026/05/15 09:04:57,86,Pw3,1,3910,8885,7558,6130,6837,5985,5229,4519,4016,5030,3825,6529,7040,1.3677,0.9466,0.8997,0.8881,0.7236,0.7048,0.7655,0.8406,0.9074,0.7153,0.6755,0.4954,0.4607,Measure
2026/05/15 09:04:57,85,Pw4,1,3406,4748,3965,2745,2546,1856,1571,1312,1312,1891,659,3033,3921,1.3609,0.9386,0.8911,0.8797,0.7164,0.699,0.76,0.8351,0.9017,0.7094,0.6703,0.4913,0.4574,Measure
2026/05/15 09:04:57,84,Pw5,1,3669,5852,3586,2228,2334,1813,1621,1380,1381,1718,1235,2488,3178,1.3757,0.9536,0.9039,0.8906,0.7265,0.7082,0.7689,0.8436,0.9099,0.7171,0.677,0.4983,0.4642,Measure
2026/05/15 09:04:57,83,Pw6,1,1358,2937,447,1338,1644,2074,1998,1813,1423,1006,2414,405,1376,1.371,0.946,0.8967,0.8845,0.7209,0.7028,0.7635,0.8384,0.9048,0.7124,0.6728,0.494,0.4601,Measure
2026/05/15 09:04:57,82,Pw7,1,1626,3104,2558,2362,3310,3645,3625,3494,3435,4220,3754,5299,5385,1.3813,0.9602,0.9112,0.8984,0.7336,0.7143,0.7745,0.849,0.9152,0.7226,0.6822,0.5034,0.469,Measure
2026/05/15 09:05:06,1,Pw1,1,4841,7171,4781,3181,3586,3578,3420,3284,2989,3872,4440,4944,5184,1.3607,0.939,0.8915,0.8808,0.7178,0.7007,0.7618,0.8371,0.9037,0.712,0.6732,0.4941,0.461,Measure
2026/05/15 09:05:06,88,Pw2,1,1780,3918,2398,2108,2907,3053,2901,2674,2624,3747,3401,5616,6664,1.3805,0.9588,0.9094,0.8962,0.7321,0.7136,0.7741,0.8486,0.9147,0.7218,0.6818,0.5024,0.4687,Measure
2026/05/15 09:05:06,87,Pw3,1,3526,6427,4647,3469,3877,3183,2817,2463,2451,3019,2325,4397,5201,1.3635,0.9399,0.8922,0.8816,0.7185,0.7012,0.7621,0.8372,0.9037,0.712,0.6728,0.4938,0.4599,Measure
2026/05/15 09:05:06,86,Pw4,1,3933,8958,7381,5967,6612,5816,5143,4278,3849,4806,3689,6335,6883,1.3681,0.9467,0.8998,0.8882,0.7238,0.705,0.7656,0.8407,0.9076,0.7155,0.6757,0.4956,0.4608,Measure
2026/05/15 09:05:06,85,Pw5,1,2929,4748,3550,2243,2272,1770,1538,1430,1261,1933,641,3039,3731,1.3609,0.9386,0.891,0.8796,0.7164,0.699,0.76,0.8351,0.9017,0.7095,0.6703,0.4913,0.4575,Measure
2026/05/15 09:05:06,84,Pw6,1,3628,5790,3673,2242,2484,1964,1705,1447,1315,1743,1282,2526,3201,1.3758,0.9537,0.904,0.8907,0.7266,0.7083,0.769,0.8437,0.91,0.7171,0.6771,0.4983,0.4642,Measure
2026/05/15 09:05:06,83,Pw7,1,1169,2803,493,1504,1756,2253,2043,1881,1548,1140,2506,435,1149,1.3707,0.9458,0.8965,0.8845,0.7208,0.7028,0.7635,0.8383,0.9048,0.7124,0.6729,0.4939,0.46,Measure
2026/05/15 09:05:15,2,Pw1,1,4562,3704,496,3646,5985,8054,8261,8294,8290,10097,11887,13266,13637,1.3655,0.9448,0.8975,0.8861,0.7229,0.7057,0.7667,0.842,0.9086,0.7161,0.6768,0.4976,0.4643,Measure
2026/05/15 09:05:15,1,Pw2,1,3397,6109,4536,3755,4354,4228,3906,3571,3333,4348,4302,5700,5967,1.3649,0.9431,0.8953,0.8844,0.7214,0.7042,0.7653,0.8405,0.9072,0.7154,0.6766,0.4975,0.4645,Measure
