ID,ANALITO,NIVEL 1,NIVEL 2,NIVEL 3
1,Glucosa,60.64,112.56,367.17
2,Colesterol Total (CHOL),111.88,181.94,256.41
3,Albúmina,2.5,3.33,4.27
4,ALT/TGP (Alanino aminotransferasa),24.25,78.01,165.53
7,GGT (Gamma Glutamiltransferasa),22.31,68.64,103.39
9,Magnesio,1.06,2.46,4.32
10,Calcio,5.41,9.85,12.93
11,Urea nitrogenada (BUN),15.11,39.13,69.04
13,Triglicéridos,97.72,144.67,211.42
14,Proteínas Totales (TP),3.88,5.22,6.57
15,AST/TGO (Aspartato aminotransferasa),38.18,87.56,192.65
16,Amilasa,32.01,115.8,233.66
18,Sodio,111.1,140.0,155.2
19,Creatin cinasa (CK),65.33,229.66,541.4
20,Creatinina,0.62,1.83,6.32
21,Bilirrubina Total/TBIL,0.63,2.92,6.58
22,Fosfatasa Alcalina,20.41,134.8,292.86
23,Lipasa,15.26,33.27,112.39
24,Potasio,2.48,3.97,7.28
25,Hierro,83.82,170.15,263.34
26,Acido Urico,3.27,5.65,9.09
27,Colesterol LDL (LDL-C),56.22,92.71,120.8
28,Bilirrubina Directa (DBIL),0.26,1.64,2.7
29,Deshidrogenasa Láctica (LDH),91.41,144.72,336.29
31,Fósforo,2.29,3.83,6.76
32,Cloro (CL),74.6,98.4,117.3
33,Colesterol HDL (HDL-C),23.56,42.83,73.61
