ID,ANALITO,NIVEL 1,NIVEL 2,NIVEL 3
1,Glucosa,61.2,110.03,354.66
2,Colesterol Total (CHOL),106.31,0.0,260.68
3,Albúmina,2.45,3.38,4.12
4,ALT/TGP (Alanino aminotransferasa),23.98,0.0,155.0
7,GGT (Gamma Glutamiltransferasa),22.34,0.0,105.78
9,Magnesio,1.04,0.0,3.92
10,Calcio,5.2,0.0,12.07
11,Urea nitrogenada (BUN),15.0,37.9,66.68
13,Triglicéridos,92.02,0.0,235.52
14,Proteínas Totales (TP),3.87,0.0,6.78
15,AST/TGO (Aspartato aminotransferasa),38.41,0.0,192.76
16,Amilasa,30.53,104.66,232.4
18,Sodio,109.5,135.9,151.7
19,Creatin cinasa (CK),65.97,0.0,520.5
20,Creatinina,0.71,0.0,6.59
21,Bilirrubina Total/TBIL,0.63,2.97,6.25
22,Fosfatasa Alcalina,24.37,0.0,297.61
23,Lipasa,14.69,0.0,103.8
24,Potasio,2.45,3.85,7.25
25,Hierro,80.87,0.0,238.4
26,Acido Urico,3.33,5.84,9.27
27,Colesterol LDL (LDL-C),57.69,98.9,131.74
28,Bilirrubina Directa (DBIL),0.28,1.44,2.4
29,Deshidrogenasa Láctica (LDH),99.47,135.49,343.86
31,Fósforo,2.3,0.0,7.31
32,Cloro (CL),73.8,94.7,114.0
33,Colesterol HDL (HDL-C),24.46,41.44,67.52
