ID,ANALITO,NIVEL 1,NIVEL 2,NIVEL 3
1,Glucosa,60.82,113.0,351.94
2,Colesterol Total (CHOL),112.98,183.22,272.53
3,Albúmina,2.55,3.55,4.36
4,ALT/TGP (Alanino aminotransferasa),24.4,70.17,162.63
7,GGT (Gamma Glutamiltransferasa),22.93,62.74,108.51
9,Magnesio,1.02,2.46,4.13
10,Calcio,5.29,9.33,12.46
11,Urea nitrogenada (BUN),15.18,0.0,71.15
13,Triglicéridos,93.12,149.53,239.24
14,Proteínas Totales (TP),4.03,5.67,6.98
15,AST/TGO (Aspartato aminotransferasa),39.04,79.58,203.46
16,Amilasa,31.71,107.39,240.96
18,Sodio,112.4,140.4,156.1
19,Creatin cinasa (CK),70.31,239.17,550.18
20,Creatinina,0.72,1.89,6.54
21,Bilirrubina Total/TBIL,0.67,3.35,6.92
22,Fosfatasa Alcalina,15.74,102.9,230.97
23,Lipasa,15.76,32.17,108.18
24,Potasio,2.51,3.97,7.43
25,Hierro,88.16,180.31,267.03
26,Acido Urico,3.31,5.71,9.06
27,Colesterol LDL (LDL-C),59.06,97.74,130.48
28,Bilirrubina Directa (DBIL),0.32,1.71,2.84
29,Deshidrogenasa Láctica (LDH),100.29,133.08,340.06
31,Fósforo,2.13,4.15,7.14
32,Cloro (CL),75.0,98.2,117.1
33,Colesterol HDL (HDL-C),24.77,42.74,68.25
